,spearman,pval,FDR
TOD6,-0.1699214002106798,0.2820029256487765,False
YBL055C,0.0172595413661777,0.913609411080166,False
PTC3,0.3204764605785593,0.0385298395442793,False
PTH2,0.1491775382870108,0.3457345098301726,False
SHP1,0.5237014828620047,0.0003720225139935,True
IAI11,0.1188720525079004,0.4533784565153597,False
YEL1,-0.2898468519568917,0.0626135276906812,False
SKT5,-0.5287253869216433,0.0003187667770534,True
YBL062W,-0.0174612649965301,0.9126035790146888,False
KIP1,0.0132080058342111,0.9338372414652764,False
PRX1,0.8985495502795561,6.850744646589253e-16,True
YBL065W,0.2372153366115314,0.1303762440115045,False
SEF1,0.3224211976339032,0.0373019701916404,False
UBP13,-0.104610647435378,0.509698378107518,False
PRS4,-0.2785025524673851,0.0741065350286659,False
AST1,-0.0002430921319179,0.9987809353469091,False
YBL070C,-0.136391172598552,0.3890863417671597,False
YBL071C,-0.0709047445985342,0.6554454943221397,False
RPS8A,-0.2143262296410339,0.1728906632283725,False
YBL073W,-0.1589012235637306,0.3148370129695631,False
AAR2,0.1555695736625032,0.3252205803852502,False
SSA3,0.126326877886719,0.425342990483855,False
ILS1,-0.4852929260189613,0.0011239312777355,True
YBL077W,-0.0887286281500688,0.5763134074809962,False
ATG8,-0.0978040677416741,0.5377661788488808,False
NUP170,-0.3183696621019366,0.0398971092445441,False
PET112,0.2545174621181428,0.1038229079442026,False
YBL081W,-0.0423790616643708,0.7898704067335913,False
ALG3,-0.1655457418361559,0.2947619272009866,False
YBL083C,,,False
CDC27,0.179969208329957,0.2540874827788524,False
BOI1,-0.1760797342192691,0.2646653864440314,False
YBL086C,0.3896766874645491,0.0107443657528505,False
RPL23A,-0.258731059071388,0.0980313989414462,False
TEL1,-0.4530427031845069,0.002588369906668,True
AVT5,-0.0574507738432866,0.7178108472859043,False
MRP21,0.1550117494530427,0.326979823829102,False
MAP2,-0.3131836966210193,0.0434319354346353,False
RPL32,-0.1005591119034114,0.5263161004195308,False
ROX3,-0.1760797342192691,0.2646653864440314,False
YBL094C,0.1914362070323557,0.2245652122571879,False
MRX3,0.1742970585852038,0.2696097627941995,False
YBL096C,0.1593874078275666,0.3133394765358233,False
BRN1,0.0039705048213272,0.9800905910867796,False
BNA4,0.0300623936471922,0.8501009828132922,False
ATP1,0.588363989952192,4.169024293067719e-05,True
YBL100C,0.3507819463576696,0.0227485925361713,False
ECM21,-0.3052426869783648,0.0493339459551159,False
SFT2,0.178510655538449,0.258020519197057,False
RTG3,-0.258731059071388,0.0980313989414462,False
SEA4,-0.2203225022283445,0.1608975435295874,False
PKC1,0.05096831699214,0.748549531541308,False
SRO77,-0.2190260108581152,0.163437946913576,False
MIX23,0.2516003565351268,0.107983127565739,False
YBL108W,-0.3611019474398428,0.0187999683539846,False
YBL109W,0.046592658617616,0.7695210065427618,False
YBL111C,0.0459977283845913,0.7723853008836432,False
YBL112C,0.1006591770556506,0.5259024923913559,False
YBL113C,0.2951948788590876,0.0577115278036768,False
NTH2,0.3912973016773357,0.0103937789494444,False
RER2,-0.512519244793777,0.0005202694752063,True
COQ1,-0.0508062555708613,0.7493231739625087,False
GPI18,-0.0307106393323069,0.8469067041278778,False
RCR1,-0.2041163601004781,0.1947672237814518,False
UGA2,0.4540150717121789,0.0025270049599486,True
DSF2,-0.1723523215298598,0.2750727168620726,False
FLR1,-0.4378089295843125,0.0037359673370943,True
HHF1,-0.3159387407827567,0.0415236560774052,False
HHT1,-0.3742808524430759,0.0146100954497994,False
IPP1,-0.6546471112551658,2.562607957486554e-06,True
YBR012C,-0.1947167976663155,0.2165719602146327,False
YBR013C,0.0496718256219107,0.7547454277770702,False
GRX7,0.1420468357507495,0.3695325494242489,False
MNN2,0.2323150474029657,0.1387457481542496,False
YBR016W,0.0550198525241066,0.7292893967852316,False
KAP104,-0.1927720606109715,0.2212862428909148,False
GAL7,-0.1430192042784215,0.3662309539241347,False
GAL10,-0.0171113510164204,0.914348401017672,False
GAL1,0.0854873997244956,0.5903774479735179,False
FUR4,0.0767360829754476,0.6290872962929466,False
POA1,0.3968073900008103,0.0092740240104945,False
CHS3,-0.1039624017502633,0.5123393403191465,False
SCO2,-0.0858115225670529,0.5889642267053817,False
OLA1,-0.4207924803500527,0.0055222542999509,True
ETR1,0.4686005996272587,0.0017483169656539,True
YBR027C,-0.0192486169629834,0.9036975634830902,False
YPK3,-0.0120735758852605,0.9395089535719384,False
