name,Med15_mnase_native_1,Med15_mnase_native_2,Med15_mnase_native_3,Gal4DBDGal11_dGal4_gal11_1,Gal4DBDGal11_dGal4_gal11_2,Gcn4DBDGal11_dGcn4_gal11_1,Gcn4DBDGal11_dGcn4_gal11_2,Gcn4DBDGal11_dGcn4_gal11_3,Gcn4DBDGal11_dGcn4_gal11_4,Mig3DBDGal11_dMig3_gal11_1,Mig3DBDGal11_dMig3_gal11_2,Rpn4DBDGal11_dRpn4_gal11_1,Rpn4DBDGal11_dRpn4_gal11_2,Yap1DBDGal11_dYap1_gal11_1,Yap1DBDGal11_dYap1_gal11_2
LEO1,332.0915576044782,916.7554159577161,0.0,0.0,0.0,162.21631610639312,83.91561781135363,0.0,0.0,0.0,282.34958524997165,34.29434918290773,507.1614523257136,147.12542931305364,120.6968616074439
UBP2,852.7553842822684,939.9948452083922,1490.9967227892032,0.0,0.0,520.6803433065346,299.279476110422,174.67856959712012,0.0,272.9207410421071,425.1697717283955,195.6936289038651,279.5352696544143,83.95409113248375,172.1829354399899
CAT5,1143.775078918281,455.4012293556186,125.86335971597171,0.0,500.4648961410224,286.51193494116194,0.0,0.0,0.0,28.15848915513804,311.6846070941245,136.28663441519177,30.537466432835178,155.9147406746127,0.0
IAH1,67.74667775131356,300.5648113747083,0.0,0.0,47.186690207582124,149.70248600675708,128.39089525137103,178.42168180277267,0.0,18.584602842391106,89.1417976289196,39.97741276178959,90.69627530552047,141.49262716221102,26.380885465627028
RGA1,289.82535936390826,270.85955471477973,51.82608929481188,126.10315831034627,942.0515692066306,49.156459426179744,38.143462641524366,1083.4638075010912,0.0,19.3244533417614,74.15241632827536,62.35336215074134,41.914169613695336,58.85017172522146,10.972441964313083
ADE2,379.0023930143416,599.4170027415835,316.27203210680074,1071.8768456379437,230.98379821893343,70.7096762515047,319.23144118445015,155.26983964188454,228.6349351771638,75.81131695614089,156.6414948473036,32.61560481731085,54.810837187140066,0.0,86.09146771999495
AFI1,150.5481727806968,0.0,0.0,2515.337664430374,0.0,208.35784602110056,342.3757206703227,0.0,0.0,0.0,149.3315584210961,15.546771629584839,20.901199247362744,80.03623354630118,27.357955297687287
ORT1,1509.7831041721304,1694.8515752518274,1882.915861350937,101.0626740172918,314.5779347172141,1138.5268014724422,1919.749576615738,1011.0561968823785,1269.3273636482777,136.2870875108681,207.99752780081243,204.8842404041716,114.21012445880356,81.46545200248514,57.158585175525225
YOR131C,770.7705851945854,559.9344456747726,232.1312263025107,0.0,0.0,330.2607633303813,102.50770079949784,199.43341678553432,0.0,285.63162053175955,249.09883568959572,41.89249840307292,42.24044758074807,71.88883252661783,221.15712366393913
VPS17,770.7705851945854,559.9344456747726,232.1312263025107,0.0,0.0,330.2607633303813,102.50770079949784,199.43341678553432,0.0,285.63162053175955,249.09883568959572,41.89249840307292,42.24044758074807,71.88883252661783,221.15712366393913
