name,Gcn4_PIP2_12,Msn2_HCM1_DPN_6,Msn2_PIP2_12,Msn2_RDS1_12,Msn2_RPN4_DPN_8,Msn2_RPN4_DPN_9,Msn2_SEF1_12,Msn2_SUM1_DPN_9,Msn2_YKL222C_12,Msn2_noAD,Msn2_Gal4AD,Msn2_Gcn4AD,Gcn4_Gal4AD,Gcn4_Gcn4AD
CAD1,1085.1801459966828,1995.0993607672085,2080.4145712800855,1619.9417822182863,2109.453225450484,1787.296556274936,1934.0879886293224,1918.2659310434196,1996.1256046874491,1286.32378003569,1743.1530475488987,2404.244741468489,667.290255832851,1071.0527988399306
DYN2,1115.9287503535702,1206.5416883318376,1460.3697649654318,1658.2098892958197,1026.40433308814,1372.3998990799896,1106.3101789078369,956.0971284850057,1305.8853161773973,860.9986528337747,977.5369844634939,1813.3878215877066,1476.208707508041,1409.9373159711995
SNX41,1115.9287503535702,1206.5416883318376,1460.3697649654318,1658.2098892958197,1026.40433308814,1372.3998990799896,1106.3101789078369,956.0971284850057,1305.8853161773973,860.9986528337747,977.5369844634939,1813.3878215877066,1476.208707508041,1409.9373159711995
RPN9,1282.4779095401348,763.5552358074885,660.4475369040053,906.5588035189131,678.7696967158779,872.0184705594359,960.8026096190274,708.9281557310026,610.679585975912,466.8432418402073,418.0459113415709,664.3580151717493,838.4750406804196,1042.100522526561
BNA7,1189.9622393562368,860.0843867680364,382.531550333828,441.88320651628123,722.4208034232124,640.9642005810855,419.7231047327243,906.7713063457281,467.18018227883715,1278.2514223161443,829.107097996976,868.3884002173044,838.7327093041696,1073.3479371043982
TIF35,821.1301980279885,1032.1314026369025,429.2198764128317,726.962366479589,872.5263444371208,962.5811438680962,886.3724414371613,787.7936179568956,823.2130529126551,1178.0386978420438,710.4801117436263,1162.0427119804788,635.5487746020027,977.9196692272463
CYM1,1011.5095692055702,7731.695587039005,8153.28284204406,9033.670539866329,6499.588917457085,9035.757615962977,7817.681120325222,9141.685444367533,8479.680487420601,3534.3193664895043,7898.638544458084,6672.881278208518,586.8462441997357,913.635482270704
NPL3,1011.5095692055702,7731.695587039005,8153.28284204406,9033.670539866329,6499.588917457085,9035.757615962977,7817.681120325222,9141.685444367533,8479.680487420601,3534.3193664895043,7898.638544458084,6672.881278208518,586.8462441997357,913.635482270704
GPI17,496.3341062425069,699.3417314864134,536.674905388926,757.9020845930942,626.2072276128697,750.9861253940953,763.4378235924283,858.5862072785956,678.8776514508966,944.6741485811699,776.6828618971336,901.0219581504538,431.6245529507208,666.6483861611515
PPM1,1002.5398838746006,4784.388617377377,3053.957774592838,3499.0306558193233,3939.4518964194376,4630.190430976902,3442.4270667003348,3573.2309115250937,3223.8525851757295,3133.817116371347,3831.9978995401266,3180.889388093605,743.2821483681975,976.6734952177812
PPZ2,949.2157957089697,4815.619441611268,3074.697102487824,3494.187245690494,3933.920921080705,4649.930568905129,3456.6715991898755,3602.3345056547296,3235.0399411656117,3197.5243701650247,3878.8359381663945,3184.974016435799,731.2095355359507,955.0808450575583
LRS4,1436.5697761128586,1143.4798502661843,686.1122676762714,434.7301637321144,767.0397069092987,856.4641803928673,656.5434442040249,1238.7123096027467,796.698361814246,1839.5586886470594,1490.304340576249,1383.6891196983577,1355.4465872886194,1677.9725538255468
DOT1,611.2511338804668,377.21471705418446,231.9498414576841,277.4646248266321,285.0566678178405,362.65823375968785,294.93702044543704,472.97867528807717,203.25134334051742,613.4013711548648,430.6970808478515,622.4797720850906,1069.483431390808,1316.138928190497
APT2,182.60429512111313,847.0670752806698,919.0306472650102,326.8911998262939,852.7503769396415,731.4890229259906,1021.9176132945186,1014.9194089680085,930.079165497925,480.88697140999005,509.8882250043739,738.1218477409184,366.69601796942516,401.0924496489699
SSN2,2070.812962452538,6062.539023166084,2843.241643393516,3132.6050214204824,4184.423228819346,4957.364667068472,3855.452478010182,4084.384810797233,3368.634654298105,6861.817426935142,6080.503016984713,6672.0503046861295,2256.549550190759,3222.5277596756955
YDR444W,2070.812962452538,6062.539023166084,2843.241643393516,3132.6050214204824,4184.423228819346,4957.364667068472,3855.452478010182,4084.384810797233,3368.634654298105,6861.817426935142,6080.503016984713,6672.0503046861295,2256.549550190759,3222.5277596756955
ECM11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
