name,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_3,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_2,Gcn4DBD_Gcn4AD_dGcn4_deletions_tef_1,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_3,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_2,Gcn4DBD_Gal4AD_dGcn4_deletions_tef_1,Gcn4_PIP2_12_27271508_2,Gcn4_PIP2_12_27271508_1
DIP5,830.1541084440546,898.9337348148648,727.8994976504473,675.2101014786263,998.473302112254,753.5056300770187,2937.5744520927083,2647.712525544832
DIM1,1552.8626686057894,1800.9235823755791,1773.3683413522888,1598.002060685119,2356.162170088507,1782.649186210556,1748.3416483801248,2636.1392313583806
ACM1,2685.049437509309,3477.389398662745,2065.898332703564,2562.909287876083,3438.163316285156,2309.829376629479,1945.605854984297,2589.7031744374335
PLC1,2422.133284442787,2698.586735517719,2378.65708192628,1806.5822113140503,2532.6590514013615,1444.3598087112377,2470.539696455376,1227.120888810353
KAR9,1904.2482100758064,2422.044255809866,2131.184856984872,1755.6613891814238,1815.693069938476,1489.4155959705013,2726.2396352545547,1919.4270587006858
MDL2,4686.53467356223,5461.187389150017,3412.725369801737,5044.435540746626,5103.509608706433,4303.489468464854,8554.612584160512,11949.109295009905
ATP15,1536.9395282940986,1270.8996997756037,1330.6463148748294,1073.8801726885738,1268.8321532218283,1012.3592362513637,4324.155210942033,4520.209177199884
SAM4,4438.874644122104,4180.143061063154,3958.1814650197566,7044.579287287107,8824.497225767253,8414.286712593554,10813.479359361758,11305.35402158129
SAM3,2160.675076772197,2440.4151744445803,1758.4311234001293,2405.1738707949826,2786.062601055161,2170.2912969855875,4312.275663659225,5817.509211056251
ERR2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YRF1-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YPR003C,1628.536136610945,2105.7433337575385,1574.8406406600905,806.7561783349004,1524.3867207820674,1068.4854657086603,1396.526932482747,1693.784488441216
AIM45,1832.6924487854324,2277.0734262525757,1677.552847845975,1623.1367569221165,1801.0975304210647,1448.9902271499734,2331.742676235551,1446.580795877192
ICL2,591.3426525902855,636.2171855555908,601.3082806677608,601.817699143993,524.5435780681887,502.3370867180123,674.2831037721696,391.5631199749399
HAA1,482.1717013428482,446.3016077778026,579.5504152488616,410.9974530739464,536.046726710035,375.5335502649218,825.8661271007971,578.0217485344352
SUT2,484.4460961605032,576.0772525926246,466.8051126236563,505.35911321847493,655.679472585236,580.3700322276065,1034.946159278214,932.2931427974761
RPA135,1289.5818616103536,1536.7335501852706,1291.6260107764729,761.1840584991967,777.6128481888061,897.3788733603326,1238.7991906511957,950.9390056534254
YPR011C,745.6560224970007,631.0485970464484,677.6903229822087,476.8957788832712,584.3793656026533,410.53725287879837,818.2351470234356,440.57735018277356
CMR3,409.39106717788997,536.511507222252,433.17932061263025,331.31427339634456,386.50579436603385,399.91884573667005,914.7251407761993,1006.8765942212741
TIF6,1140.5920279583006,925.9565483693161,1384.5914357481329,591.520854637343,480.7285999577536,738.838056830579,1037.5986671491216,974.0376118779601
DSS4,1377.0246619309564,1549.5290605181206,1432.856060959397,972.1695124064714,1042.0499357907775,1137.9804553482481,1809.5216292479058,2274.876514015628
RLF2,1377.0246619309564,1549.5290605181206,1432.856060959397,972.1695124064714,1042.0499357907775,1137.9804553482481,1809.5216292479058,2274.876514015628
MCM4,1100.6947759515285,1139.7539818625844,900.2693285934366,755.0658676402601,947.7079662953163,667.3342176424912,903.4322378036535,537.123621364801
ATP20,1788.6290109212339,1955.8178328761949,1367.4977143191438,1241.3282864005878,1441.443934749869,1390.865000981192,1355.1483567054802,1208.5281480708024
AGC1,2669.9417424645,3419.85659983916,2321.9856375900376,2005.7550948595433,2990.8186468800236,1887.2098234657283,2863.4873972124497,4864.138136334657
SDD4,1005.2825094034852,1204.381289074141,943.500164074085,937.3258241023167,1173.321161468317,1038.813587096472,1165.6211793890996,1230.6269484926686
EAF3,723.068019112801,821.6486455247372,663.4500629626472,397.542179312597,469.7119028753884,604.5521169037568,1311.1060351125523,1957.8155998747
YME1,723.068019112801,821.6486455247372,663.4500629626472,397.542179312597,469.7119028753884,604.5521169037568,1311.1060351125523,1957.8155998747
CCL1,796.0381861792305,1263.9457202862654,1019.5627845054437,580.4671821011906,666.1368804414599,706.0651461592539,1114.3015351273702,1423.8658908179636
YOP1,511.7388339723625,753.3317918518937,569.6604764220891,392.12512104504066,531.4454672532966,409.6729639253694,899.044138362893,1230.6269484926686
APL4,746.0015001908216,1095.1798318519127,801.0850449685626,429.8697851028521,819.0241832994527,519.406793548236,867.6821335362804,913.6472799415266
NTO1,1669.4689737925526,2084.8949713221323,1596.1262384318757,1314.9472084955132,1789.378677620527,1896.63409224708,1194.2244893467046,1450.2337776849627
SRO7,832.9851062128657,1196.6551173621544,771.1648502900995,569.797553990402,808.6179593804153,590.5974515098502,895.4271420256465,660.8660252741603
HTS1,1816.414406645335,2739.388334006886,1733.8860934027757,1494.5361929961687,2045.9918470701982,1470.3224746942706,2345.0226336262563,2610.420799832933
ARP7,1816.414406645335,2739.388334006886,1733.8860934027757,1494.5361929961687,2045.9918470701982,1470.3224746942706,2345.0226336262563,2610.420799832933
GLN1,720.9831571966174,930.5863311111627,733.8334609465107,712.9547655364377,1113.5047885307165,899.8174029075075,2801.6724311773874,2274.7952684258416
VMA13,1226.5997208422107,1511.9589237131056,1175.596502050302,1001.644736265121,957.1487832177723,928.6349942228629,1541.8008662139712,2462.6611319178614
ERV2,1241.8195704395996,1999.6527710186297,1668.4326800765007,888.0480682490628,1256.14383168961,964.43843590764,1225.7316886401072,1566.25247989976
TIP41,1241.8195704395996,1999.6527710186297,1668.4326800765007,888.0480682490628,1256.14383168961,964.43843590764,1225.7316886401072,1566.25247989976
