name,dGal4_med15mnase,dMig3_med15mnase,dMsn2_med15mnase
LAG2,374.3049402582811,369.3809367483054,412.55890242550856
MIM1,374.3049402582811,369.3809367483054,412.55890242550856
MDM38,489.34338845016845,293.28455701871707,771.5283836902535
YAP7,658.9645587862213,1065.966045036591,815.6457421768582
YOL029C,658.9645587862213,1065.966045036591,815.6457421768582
GAS5,846.4542947468453,974.1418364509652,1298.5970568471766
SIL1,846.4542947468453,974.1418364509652,1298.5970568471766
OPI10,707.1658159401804,762.3222573657814,1134.5483079192072
MSE1,10.444952530704864,0.0,88.44476206329878
SMC5,246.79236172532472,360.0378191870038,292.3114366497627
YOL035C,0.0,0.0,0.0
YOL036W,1885.8479400813328,1285.2183532916538,2323.8323293597937
YOL037C,0.0,0.0,0.0
PRE6,795.7348807710096,855.0801016752694,1538.2157773842682
RPP2A,2296.942849637463,2753.279594489577,2555.5992176193513
RPS15,2296.942849637463,2753.279594489577,2555.5992176193513
NOP12,311.2857417580739,71.56585766526818,325.3358480710534
NGL1,164.49427190505008,65.98859959944704,68.69304119267153
NTG2,164.49427190505008,65.98859959944704,68.69304119267153
PEX15,126.46863591738081,689.9941301977021,408.361315186678
PSK2,12.780914165559786,31.958903857878514,26.639477064495935
YOL046C,0.0,0.0,0.0
LDS2,0.0,0.0,0.0
RRT8,634.2262670095434,552.4600591904249,223.25474615323785
GSH2,1240.025110068488,1478.7217916177058,910.8753691375443
YOL050C,0.0,0.0,0.0
GAL11,2427.3158664522052,2645.0021295097395,2591.5157829930795
SPE2,2470.1585522317732,3109.6635680867766,3100.419564311579
AIM39,368.77146674066694,420.0498360617062,400.71296965620434
PSH1,289.4060407904678,94.304380827495,253.248769288392
THI20,124.07960179355217,58.99288546832864,95.98911078529949
GPM3,182.29749117830383,360.2549836904709,263.9493880300453
YOL057W,454.87163801545137,703.7086600286605,1317.2620695414387
ARG1,13793.678222306655,11632.838348085486,22574.630106732446
GPD2,13553.940345596962,13126.420206675695,18158.877739524698
MAM3,11820.711564914067,11390.233652523553,16118.583369451886
PRS5,679.4463392023564,802.1768058906171,1454.0680499596358
APM4,679.4463392023564,802.1768058906171,1454.0680499596358
CRT10,139.9243822663763,114.19671115829473,247.06026371305754
MET22,554.5563306865404,801.978940585489,1040.037490404042
INP54,268.7542052863974,219.6092594972366,222.0138924484221
RIB2,42.394219095213856,36.404264657672705,209.18131010185536
RTG1,305.59406028831097,317.64169732124066,486.57156838604493
HST1,0.0,0.0,0.0
NUF2,63.97853706808594,238.22048947996777,297.95358738106194
NBA1,63.97853706808594,238.22048947996777,297.95358738106194
SDH5,316.2819372683133,98.03920779096015,263.0116472054321
THP1,107.99517522375848,56.582628496497016,79.59706421733493
DSC2,72.5299176735013,87.82184124412815,107.24963456974773
YOL075C,81.58887448512856,21.393296906856833,193.608775510952
MDM20,244.8395105948239,179.6454956323637,109.07434518817392
BRX1,244.8395105948239,179.6454956323637,109.07434518817392
AVO1,339.2134502961544,53.49112762628282,136.64796911757412
YOL079W,0.0,0.0,0.0
REX4,339.2134502961544,53.49112762628282,136.64796911757412
IRA2,6748.404692635177,6034.852170566477,6288.466012143447
ATG19,3272.368576246581,3735.1698151805213,4854.496244448153
ATG34,264.3357098937299,250.14244795789546,255.496392299157
PHM7,2441.934029681528,2467.119959214763,2372.0174106249938
YOL085C,0.0,0.0,0.0
ADH1,33574.976298180474,31849.394999468557,37071.57111547
DUF1,1596.0003980710908,1199.2217941316505,1617.1572964170682
