,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YJL135W,1.689451899,-2.251437749,1.554444245,-1.448387586,0.147508685,
LCB3,583.2481607,0.290719296,0.148707077,1.954979553,0.050585484,0.175748275
DPI8,730.4570892,-0.018340453,0.151748033,-0.12086122,0.903800959,0.924151793
MRS3,532.8577643,0.196225517,0.122010916,1.608261985,0.107777813,0.240063778
YJL132W,220.9750713,0.338149007,0.145943247,2.316989742,0.020504291,0.117627144
AIM23,331.0653573,0.316141491,0.154799083,2.042269791,0.041124777,0.162504055
URA2,4559.493258,-0.09417511,0.154497888,-0.609555968,0.542155988,0.619285914
TRK1,1258.911242,0.290222044,0.145833347,1.990093832,0.0465806,0.170344343
PBS2,996.8063679,0.29600075,0.140398755,2.108286151,0.035006245,0.151812041
YJL127W-A,0.375015855,-0.745992684,3.257034474,-0.229040463,0.818837467,
MCO6,222.2682997,0.061590922,0.172925431,0.35617041,0.72171295,0.775282291
SPT10,640.5099135,0.26867784,0.133897103,2.006599355,0.04479234,0.167689937
NIT2,159.0447241,0.228045753,0.195578127,1.166008468,0.243611022,0.359494243
GCD14,738.0706069,0.201965286,0.147488808,1.369360078,0.170886747,0.296834103
LSM1,774.3133299,0.109478607,0.140542903,0.7789693,0.435997799,0.526397028
MTC1,1496.784862,0.275041594,0.148698472,1.849659854,0.06436259,0.191801972
ALB1,744.8452943,-0.015092432,0.169549143,-0.089015088,0.929069919,0.945234756
RPE1,452.7529607,0.141141618,0.152007501,0.928517455,0.353139217,0.45338721
YJL120W,2.393074477,-0.052920281,1.157276716,-0.045728286,0.963526818,
YJL119C,26.67381058,0.152255437,0.319099086,0.477141564,0.633261319,0.698542259
YJL118W,161.1088657,0.16794286,0.168655799,0.995772815,0.319360542,0.424908797
PHO86,1216.30263,0.200083195,0.15086459,1.326243589,0.184759025,0.307898119
NCA3,272.6241616,0.059005719,0.207622361,0.284197322,0.776259168,0.817791505
ASF1,548.9451204,0.363437713,0.141568624,2.567219364,0.010251773,0.082887593
YJL114W,12.29187528,0.136591859,0.452168793,0.30208157,0.762589882,0.806915157
YJL113W,59.50000865,0.359068353,0.281854051,1.273951365,0.202680653,0.322694802
MDV1,677.40021,0.157603319,0.136019218,1.158684199,0.246584934,0.361846541
CCT7,2709.079249,0.183199047,0.140499821,1.303909469,0.192264451,0.314767791
GZF3,616.9209147,0.159420743,0.132167039,1.206206514,0.227737873,0.345124227
UTP10,2293.540812,0.205865955,0.147981406,1.391160966,0.164176621,0.290597388
PRM10,202.4097684,-0.470233161,0.145143972,-3.239770524,0.001196259,0.022339178
YJL107C,424.0588038,-0.423490329,0.13194804,-3.209523443,0.001329552,0.023971594
IME2,60.45673746,0.119466055,0.217900928,0.548258589,0.583514357,0.656935942
SET4,22.11319328,0.302138796,0.359443835,0.840573039,0.400587168,0.497713868
PAM16,506.9930654,0.008411271,0.149559718,0.056240216,0.955150444,0.965718963
GSM1,169.9799215,0.484610576,0.152732178,3.172943531,0.001509019,0.025805064
MEF2,345.8803207,0.222814659,0.154186124,1.445101888,0.148429269,0.277993974
GSH1,4152.779271,-0.281655871,0.131296236,-2.145193792,0.031937356,0.145769199
LSB6,834.6937531,0.219102127,0.127912339,1.712908457,0.086729382,0.218294084
CHS6,554.7307357,0.159220334,0.147494851,1.079497577,0.280365973,0.391470965
