name,dependence
YDL176W,tail_independent
YDL177C,tail_independent
DLD2,tail_independent
PCL9,tail_dependent
YDL180W,tail_independent
INH1,tail_independent
LYS20,tail_independent
YDL183C,tail_independent
RPL41A,tail_independent
VMA1,tail_independent
YDL186W,no_call
YDL187C,not_checked
PPH22,tail_independent
RBS1,tail_independent
UFD2,tail_independent
RPL35A,tail_independent
ARF1,tail_independent
NUS1,tail_independent
SNF3,tail_independent
SEC31,tail_independent
YDL196W,not_checked
ASF2,tail_independent
GGC1,tail_independent
YDL199C,tail_independent
MGT1,tail_independent
TRM8,tail_independent
MRPL11,tail_independent
ACK1,tail_independent
RTN2,tail_independent
HEM3,tail_independent
YDL206W,tail_independent
GLE1,tail_independent
NHP2,tail_independent
CWC2,tail_independent
UGA4,no_call
YDL211C,tail_independent
SHR3,tail_independent
NOP6,tail_independent
PRR2,no_call
GDH2,not_checked
RRI1,tail_independent
TIM22,tail_independent
YDL218W,no_call
DTD1,tail_independent
CDC13,tail_independent
YDL221W,not_checked
FMP45,no_call
HBT1,not_checked
WHI4,tail_independent
SHS1,tail_independent
GCS1,tail_independent
HO,tail_dependent
YDL228C,not_checked
SSB1,tail_independent
PTP1,tail_independent
BRE4,tail_independent
OST4,tail_independent
MFG1,tail_independent
GYP7,tail_independent
YPD1,tail_independent
PHO13,tail_independent
AIM6,tail_independent
GUD1,tail_independent
ADY3,not_checked
LRG1,tail_independent
YDL241W,tail_independent
YDL242W,not_checked
AAD4,not_checked
THI13,no_call
HXT15,no_call
SOR2,no_call
MPH2,no_call
COS7,tail_independent
NTH1,tail_independent
YRB1,tail_independent
RCR2,tail_independent
RAD57,tail_independent
MAF1,tail_independent
SOK1,tail_independent
TRP1,no_call
YDR008C,not_checked
GAL3,not_checked
YDR010C,not_checked
SNQ2,tail_dependent
RPL4B,tail_independent
PSF1,tail_independent
RAD61,tail_independent
YDR015C,not_checked
DAD1,tail_independent
KCS1,tail_independent
YDR018C,no_call
GCV1,tail_dependent
DAS2,tail_independent
FAL1,tail_independent
ATG31,tail_independent
SES1,tail_independent
FYV1,not_checked
RPS11A,tail_independent
NSI1,tail_independent
VPS54,tail_independent
REG1,tail_independent
YDR029W,not_checked
RAD28,tail_independent
MIX14,tail_independent
PST2,tail_independent
MRH1,tail_dependent
LYS14,tail_independent
ARO3,tail_independent
EHD3,tail_independent
KRS1,tail_independent
ENA5,no_call
ENA2,no_call
ENA1,no_call
RSM10,tail_independent
YDR042C,no_call
NRG1,tail_independent
HEM13,tail_independent
RPC11,tail_independent
BAP3,tail_independent
HEM12,tail_independent
YDR048C,not_checked
VMS1,tail_independent
TPI1,tail_dependent
DET1,tail_independent
DBF4,tail_independent
YDR053W,not_checked
CDC34,tail_independent
PST1,tail_dependent
EMC10,tail_independent
YOS9,tail_independent
TGL2,tail_independent
UBC5,tail_independent
MAK21,tail_independent
YDR061W,tail_independent
LCB2,tail_independent
AIM7,tail_independent
RPS13,tail_independent
RRG1,tail_independent
RTR2,tail_independent
OCA6,tail_independent
DOS2,tail_independent
DOA4,tail_independent
FMP16,no_call
PAA1,tail_independent
IPT1,tail_independent
SNF11,tail_dependent
TPS2,tail_dependent
PPH3,tail_independent
RAD55,tail_independent
SED1,not_checked
SHU2,tail_independent
PET100,tail_independent
VPS41,tail_independent
PDC2,tail_independent
STN1,tail_independent
RRP8,tail_independent
TVP23,tail_independent
AFR1,not_checked
SSS1,tail_independent
RRP1,tail_independent
SLU7,tail_independent
VTC5,tail_independent
ILT1,tail_independent
RLI1,tail_independent
UBC13,tail_independent
DNF2,tail_independent
YDR094W,not_checked
YDR095C,not_checked
GIS1,tail_independent
MSH6,tail_independent
GRX3,tail_independent
BMH2,tail_independent
TVP15,tail_independent
ARX1,tail_independent
YDR102C,not_checked
STE5,tail_independent
SPO71,tail_independent
TMS1,tail_independent
ARP10,no_call
TMN2,tail_independent
TRS85,tail_independent
YDR109C,tail_independent
FOB1,tail_independent
ALT2,tail_independent
IRC2,not_checked
PDS1,tail_independent
YDR114C,not_checked
MRX14,tail_independent
MRPL1,tail_independent
TMA64,tail_independent
APC4,tail_independent
VBA4,tail_independent
TRM1,tail_independent
DPB4,tail_independent
KIN1,tail_independent
INO2,tail_independent
YDR124W,no_call
ECM18,tail_independent
SWF1,no_call
ARO1,tail_independent
MTC5,tail_independent
SAC6,tail_independent
FIN1,tail_independent
YDR131C,tail_independent
MRX16,tail_independent
YDR133C,not_checked
CCW22,not_checked
YCF1,tail_independent
VPS61,not_checked
RGP1,tail_independent
HPR1,tail_independent
RUB1,tail_independent
MTQ2,tail_independent
DOP1,tail_independent
PEX7,tail_independent
SAN1,tail_independent
MKC7,tail_independent
TAF12,tail_independent
SWI5,tail_independent
EKI1,tail_independent
KGD2,tail_independent
YDR149C,not_checked
NUM1,tail_independent
CTH1,tail_independent
GIR2,tail_independent
ENT5,tail_independent
YDR154C,not_checked
CPR1,tail_dependent
RPA14,tail_independent
YDR157W,not_checked
HOM2,tail_independent
SAC3,tail_independent
SSY1,tail_independent
ACL4,tail_independent
NBP2,tail_independent
CWC15,tail_independent
SEC1,tail_independent
TRM82,tail_independent
SEC5,tail_independent
TAF10,tail_independent
CDC37,tail_independent
STB3,tail_independent
SEC7,tail_independent
HSP42,tail_dependent
SUP35,tail_independent
ARG82,tail_independent
HMO1,tail_independent
RSM24,tail_independent
NGG1,tail_independent
UBC1,tail_independent
SDH4,tail_independent
CSN9,tail_independent
SCC2,tail_independent
SAS4,tail_independent
CDC1,tail_independent
PLP1,tail_independent
ATC1,tail_independent
UPS3,no_call
SND1,tail_independent
YDR187C,not_checked
CCT6,tail_independent
SLY1,tail_independent
RVB1,tail_independent
HST4,tail_independent
NUP42,tail_independent
YDR193W,not_checked
MSS116,tail_independent
REF2,tail_independent
CAB5,tail_independent
CBS2,tail_independent
RKM2,tail_independent
YDR199W,not_checked
VPS64,tail_independent
SPC19,tail_independent
RAV2,tail_independent
YDR203W,not_checked
COQ4,tail_independent
MSC2,tail_independent
EBS1,tail_independent
UME6,tail_independent
MSS4,tail_independent
YDR209C,not_checked
YDR210W,tail_independent
GCD6,tail_independent
TCP1,tail_independent
UPC2,tail_independent
AHA1,tail_independent
YDR215C,not_checked
ADR1,tail_independent
RAD9,tail_independent
SPR28,no_call
MFB1,tail_independent
YDR220C,not_checked
GTB1,tail_independent
YDR222W,tail_independent
CRF1,no_call
HTB1,tail_independent
HTA1,tail_independent
ADK1,tail_independent
SIR4,tail_independent
PCF11,tail_independent
IVY1,tail_independent
YDR230W,not_checked
COX20,tail_independent
HEM1,tail_independent
RTN1,tail_independent
LYS4,tail_independent
PRP42,tail_independent
FMN1,tail_independent
MRPL7,tail_independent
[],tail_independent
YDR239C,tail_independent
SNU56,tail_independent
BUD26,not_checked
[],tail_independent
[],tail_independent
[],tail_independent
[],tail_independent
TRS23,tail_independent
VHS1,tail_independent
YDR248C,tail_independent
YDR249C,tail_independent
YDR250C,not_checked
PAM1,tail_independent
BTT1,tail_independent
MET32,no_call
CHL4,tail_independent
RMD5,tail_independent
CTA1,no_call
RKM4,tail_independent
HSP78,tail_independent
YAP6,no_call
SWM1,tail_independent
EXG2,tail_independent
YDR262W,tail_independent
DIN7,no_call
AKR1,tail_independent
PEX10,tail_independent
HEL2,tail_independent
CIA1,tail_independent
MSW1,tail_independent
YDR269C,not_checked
CCC2,tail_dependent
